fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,alcohol,quality
9.3,0.61,0.15,0.9,0.105,9.6,5
5.01,0.606,0.29,1.4,0.057,11.4,5
11.45,0.579,0.3,0.9,0.112,9.1,5
7.41,0.198,0.18,4.2,0.151,11.3,7
7.84,0.591,0.23,1.4,0.123,10.5,4
8.87,0.644,0.16,2.7,0.058,11.5,6
5.56,0.353,0.43,1.5,0.113,10.8,6
9.53,0.66,0.02,4.5,0.166,9.0,4
9.77,0.576,0.39,15.5,0.062,11.4,8
7.85,0.608,0.19,3.2,0.122,11.4,5
4.81,0.197,0.51,2.9,0.087,10.3,8
8.71,0.486,0.31,7.8,0.164,11.0,7
8.66,0.408,0.36,4.0,0.081,10.6,7
12.88,0.358,0.41,7.6,0.073,8.4,6
8.75,0.72,0.0,7.8,0.082,10.4,6
8.6,0.451,0.29,0.9,0.109,11.7,6
8.17,0.39,0.24,10.4,0.096,8.8,5
7.51,0.611,0.31,1.7,0.086,11.0,7
8.21,0.579,0.4,0.9,0.13,11.5,5
5.91,0.673,0.04,2.8,0.101,9.2,5
6.25,0.527,0.23,2.4,0.044,9.8,7
8.23,0.607,0.43,2.7,0.115,10.9,6
8.29,0.517,0.65,3.5,0.04,11.1,6
8.97,0.643,0.41,1.1,0.125,11.2,4
8.65,0.692,0.32,2.8,0.014,10.2,8
6.45,0.503,0.09,9.0,0.057,10.1,5
9.4,0.351,0.61,0.9,0.038,11.8,7
7.55,0.704,0.27,0.9,0.095,8.9,5
10.79,0.358,0.0,1.9,0.055,9.6,7
9.54,0.386,0.1,1.4,0.079,10.0,5
10.2,0.63,0.0,5.3,0.09,10.5,5
8.96,0.551,0.33,4.0,0.066,10.1,6
12.38,0.508,0.49,15.5,0.051,10.8,9
7.67,0.474,0.49,0.9,0.085,10.1,5
9.39,0.818,0.5,5.8,0.013,10.6,7
9.73,0.585,0.0,0.9,0.152,11.2,6
5.7,0.668,0.28,1.0,0.141,9.8,4
8.72,0.592,0.44,15.5,0.028,10.3,8
10.28,0.664,0.45,2.0,0.038,11.6,6
9.99,0.425,0.27,1.0,0.075,10.0,7
9.87,0.405,0.08,13.4,0.024,11.3,8
9.42,0.333,0.25,8.3,0.161,11.9,6
8.54,0.676,0.37,0.9,0.051,9.3,6
10.0,0.334,0.41,2.2,0.058,10.7,5
7.41,0.45,0.54,6.1,0.076,10.3,6
10.58,0.348,0.13,2.0,0.102,9.7,4
9.34,0.292,0.26,0.9,0.044,11.4,6
11.71,0.59,0.2,1.8,0.114,10.8,5
9.97,0.363,0.17,4.7,0.059,11.1,6
7.94,0.599,0.26,0.9,0.024,10.4,7
7.77,0.599,0.1,0.9,0.135,11.2,5
8.75,0.499,0.06,15.5,0.151,10.7,5
10.17,0.717,0.38,12.8,0.052,10.5,7
9.77,0.424,0.34,15.5,0.012,9.1,7
8.04,0.412,0.18,4.1,0.148,9.7,6
4.64,0.448,0.27,0.9,0.14,10.1,4
5.97,0.48,0.1,0.9,0.012,10.7,6
9.19,0.418,0.49,6.8,0.087,9.8,6
8.91,0.473,0.3,7.7,0.157,11.1,5
7.24,0.496,0.16,2.0,0.144,11.2,4
8.22,0.483,0.38,14.1,0.091,11.1,6
9.73,0.39,0.17,4.0,0.012,13.3,8
6.67,0.832,0.22,3.0,0.149,9.2,3
7.23,0.182,0.31,4.3,0.089,9.6,6
4.69,0.263,0.5,6.3,0.096,10.5,7
4.79,0.366,0.21,3.4,0.123,8.4,4
7.29,0.605,0.33,0.9,0.078,10.7,6
10.43,0.613,0.6,5.1,0.085,8.4,6
7.27,0.512,0.3,0.9,0.086,8.5,5
5.79,0.586,0.18,2.5,0.041,10.6,6
9.16,0.12,0.26,2.9,0.104,10.3,6
7.9,0.516,0.3,1.9,0.113,9.5,5
9.66,0.876,0.44,2.5,0.109,10.0,5
6.94,0.614,0.31,1.7,0.042,10.4,5
11.05,0.388,0.03,1.9,0.111,9.5,6
7.04,0.519,0.35,2.4,0.049,11.9,7
7.68,0.709,0.21,3.4,0.089,10.1,6
10.65,0.717,0.17,1.0,0.104,10.4,5
7.12,0.428,0.57,5.3,0.068,10.1,7
9.89,0.759,0.04,0.9,0.052,9.7,4
5.77,0.354,0.09,0.9,0.019,10.3,6
5.22,0.688,0.34,4.5,0.02,10.8,5
10.05,0.332,0.28,0.9,0.053,10.3,5
9.2,0.723,0.15,11.7,0.126,10.0,6
6.7,0.345,0.0,14.0,0.139,10.8,6
11.21,0.351,0.08,1.7,0.174,10.3,5
6.42,0.501,0.28,2.2,0.145,12.3,5
6.02,0.556,0.41,0.9,0.073,9.4,6
10.06,0.754,0.31,2.7,0.078,10.9,7
5.72,0.486,0.32,6.1,0.091,11.6,6
6.86,0.685,0.74,1.6,0.152,10.1,4
10.38,0.477,0.44,2.0,0.014,11.2,7
6.54,0.41,0.44,0.9,0.09,10.7,8
7.44,0.792,0.0,0.9,0.055,12.6,5
11.29,0.446,0.22,0.9,0.074,11.0,7
8.0,0.536,0.11,15.4,0.076,8.8,6
9.83,0.686,0.94,1.8,0.109,11.1,7
5.44,0.393,0.0,5.0,0.029,10.8,5
11.8,0.586,0.47,4.6,0.085,11.7,8
6.24,0.467,0.46,1.1,0.031,11.6,6
4.6,0.395,0.36,1.7,0.046,10.2,6
8.4,0.572,0.31,0.9,0.11,9.7,4
7.35,0.478,0.56,3.9,0.04,12.9,8
11.03,0.268,0.38,1.0,0.133,11.0,7
10.69,0.577,0.32,2.4,0.049,11.3,7
7.82,0.555,0.17,0.9,0.091,10.2,5
8.89,0.555,0.28,3.4,0.109,10.8,7
7.13,0.737,0.0,6.6,0.092,9.8,5
9.45,0.521,0.03,9.2,0.089,9.6,6
9.76,0.715,0.42,1.4,0.112,10.4,4
5.35,0.701,0.67,0.9,0.11,9.7,5
7.59,0.579,0.0,8.2,0.086,9.8,5
8.3,0.561,0.32,0.9,0.11,10.5,6
4.9,0.446,0.3,2.9,0.012,9.9,7
8.27,0.583,0.19,15.5,0.105,12.3,7
6.29,0.529,0.27,1.6,0.107,10.4,5
9.31,0.273,0.21,1.8,0.087,11.3,6
7.05,0.548,0.24,0.9,0.055,9.6,5
5.04,0.6,0.41,15.5,0.077,10.8,5
5.75,0.483,0.53,6.7,0.092,9.4,7
7.06,0.471,0.54,3.5,0.075,9.3,7
8.89,0.42,0.66,7.3,0.072,9.6,5
9.55,0.808,0.13,0.9,0.078,8.8,6
5.91,0.721,0.32,1.1,0.063,12.0,4
7.71,0.445,0.37,2.7,0.038,10.5,8
9.08,0.398,0.52,1.4,0.191,12.1,4
6.03,0.441,0.14,0.9,0.041,9.3,5
5.67,0.564,0.06,2.8,0.08,10.8,7
7.83,0.553,0.21,3.8,0.104,11.4,5
12.7,0.587,0.0,3.9,0.121,10.7,5
6.31,0.376,0.6,1.1,0.024,9.3,7
8.9,0.12,0.36,15.5,0.147,9.0,5
8.74,0.451,0.51,0.9,0.133,9.9,5
8.77,0.426,0.52,6.6,0.056,9.5,6
6.58,0.523,0.0,0.9,0.069,11.8,5
12.22,0.672,0.07,4.5,0.06,10.0,6
7.62,0.634,0.26,2.1,0.071,10.1,6
8.64,0.322,0.36,0.9,0.079,10.5,7
4.99,0.698,0.52,0.9,0.042,10.6,6
4.6,0.454,0.21,3.7,0.104,10.4,5
10.61,0.413,0.03,6.4,0.082,9.4,6
7.68,0.74,0.24,8.8,0.13,11.2,5
8.97,0.319,0.28,0.9,0.113,11.3,5
12.35,0.655,0.0,1.6,0.04,10.0,6
8.41,0.602,0.34,0.9,0.079,10.7,5
6.72,0.496,0.11,4.0,0.057,9.3,5
8.79,0.869,0.22,2.5,0.064,12.5,6
7.63,0.288,0.62,12.5,0.117,11.5,9
11.18,0.397,0.54,2.7,0.134,11.2,6
5.85,0.417,0.35,0.9,0.107,10.6,7
4.83,0.615,0.45,0.9,0.108,10.2,4
8.57,0.689,0.4,7.9,0.135,9.4,5
8.07,0.254,0.3,0.9,0.177,9.9,6
8.73,0.527,0.75,1.2,0.012,9.9,7
8.92,0.494,0.5,2.0,0.08,9.7,6
9.11,0.539,0.51,1.6,0.012,11.1,8
7.73,0.861,0.58,0.9,0.056,10.3,6
8.25,0.558,0.08,1.0,0.07,10.5,4
7.97,0.235,0.26,1.2,0.102,9.8,8
4.98,0.234,0.16,2.3,0.127,9.9,6
6.54,0.545,0.16,5.0,0.079,10.4,6
6.68,0.341,0.0,1.8,0.085,10.1,5
7.17,0.743,0.09,1.3,0.034,13.0,6
9.76,0.429,0.17,3.0,0.038,10.6,6
6.65,0.538,0.0,0.9,0.08,10.9,5
4.6,0.262,0.07,2.1,0.047,10.6,6
8.36,0.578,0.0,1.2,0.113,9.8,6
6.43,0.334,0.41,2.4,0.068,8.4,6
5.45,0.837,0.38,1.2,0.098,8.4,4
8.77,0.509,0.04,11.4,0.088,11.8,7
5.7,0.505,0.21,9.2,0.102,10.8,7
6.9,0.327,0.41,0.9,0.145,10.1,4
9.92,0.8,0.02,0.9,0.104,13.9,7
8.57,0.433,0.1,0.9,0.087,12.2,6
8.14,0.791,0.55,3.4,0.097,8.9,5
5.83,0.335,0.0,1.2,0.075,10.5,5
6.02,0.614,0.21,8.7,0.11,9.7,3
9.18,0.67,0.52,0.9,0.119,11.8,7
9.14,0.745,0.43,10.3,0.055,11.1,6
9.44,0.487,0.04,15.5,0.146,10.9,7
4.9,0.433,0.73,3.0,0.106,11.1,7
4.6,1.021,0.39,2.6,0.143,10.2,4
9.09,0.292,0.63,7.7,0.073,9.0,7
8.86,0.433,0.6,2.1,0.09,11.3,6
8.23,0.442,0.25,6.4,0.067,11.1,7
7.02,0.506,0.28,3.2,0.114,10.5,5
6.54,0.332,0.31,15.5,0.114,9.8,6
8.41,0.501,0.0,15.5,0.014,10.4,6
9.43,0.881,0.23,8.0,0.012,8.4,6
9.38,0.156,0.23,8.2,0.14,10.7,7
9.65,0.316,0.0,0.9,0.175,11.3,3
8.2,0.806,0.39,0.9,0.102,10.2,4
5.05,0.357,0.0,0.9,0.096,9.2,5
5.75,0.449,0.16,5.6,0.096,10.9,5
8.59,0.349,0.41,5.4,0.144,10.2,6
7.61,0.474,0.36,1.8,0.094,9.8,6
5.61,0.772,0.62,7.5,0.142,10.5,4
8.93,0.479,0.18,7.0,0.06,10.5,6
7.73,0.645,0.21,0.9,0.08,11.1,6
6.73,0.63,0.23,4.6,0.025,10.2,6
10.92,0.443,0.4,8.8,0.065,10.3,8
4.6,0.705,0.26,2.2,0.079,11.7,6
9.16,0.541,0.23,2.3,0.024,10.1,7
7.96,0.565,0.43,2.5,0.106,10.2,6
11.47,0.524,0.55,1.6,0.111,9.8,5
7.79,0.371,0.34,0.9,0.047,11.0,7
10.12,0.788,0.28,5.0,0.074,11.4,5
7.31,0.574,0.62,0.9,0.076,10.0,6
9.79,0.705,0.17,2.7,0.132,10.0,5
9.14,0.68,0.37,15.5,0.012,11.2,7
8.1,0.597,0.17,3.2,0.094,9.9,5
9.69,0.648,0.15,4.2,0.144,11.2,5
8.07,0.458,0.34,0.9,0.025,11.0,6
6.6,0.278,0.36,15.5,0.072,12.1,8
10.31,0.618,0.0,4.7,0.012,12.7,7
7.79,0.54,0.0,1.9,0.068,9.0,6
8.07,0.723,0.0,1.1,0.041,12.3,6
8.37,0.62,0.51,2.1,0.069,9.9,7
6.57,0.307,0.05,1.4,0.151,10.3,4
10.73,0.425,0.0,2.8,0.059,10.7,6
8.23,0.604,0.42,0.9,0.109,10.8,4
8.88,0.478,0.42,8.4,0.012,9.5,6
9.35,0.537,0.28,3.1,0.039,10.3,7
10.61,0.639,0.08,3.7,0.082,11.2,7
4.6,0.609,0.0,1.8,0.111,12.4,5
4.73,0.646,0.0,3.4,0.012,10.3,5
7.89,0.582,0.64,2.2,0.136,10.6,7
9.65,0.487,0.32,4.0,0.095,11.0,6
7.73,0.471,0.29,0.9,0.028,9.2,7
7.29,0.434,0.21,2.7,0.123,11.9,5
11.38,0.53,0.42,1.6,0.048,10.2,5
4.77,0.319,0.08,0.9,0.074,11.9,6
10.41,0.587,0.39,13.5,0.124,8.6,6
7.2,0.408,0.57,5.4,0.026,11.3,7
10.3,0.408,0.3,0.9,0.133,8.4,4
8.09,0.452,0.32,3.6,0.089,9.7,5
11.74,0.491,0.33,1.1,0.096,9.9,6
5.76,0.789,0.38,1.3,0.065,9.7,6
6.74,0.478,0.49,1.8,0.076,10.2,7
8.53,0.395,0.0,1.6,0.046,10.4,8
4.6,0.598,0.38,1.5,0.094,10.9,5
7.62,0.633,0.0,3.1,0.012,9.5,5
5.51,0.613,0.39,1.9,0.025,11.2,6
8.48,0.494,0.0,0.9,0.088,10.4,7
11.12,0.408,0.0,8.7,0.02,10.9,6
10.29,0.327,0.27,1.9,0.064,11.5,7
10.9,0.725,0.01,3.2,0.159,12.3,5
6.24,0.579,0.07,0.9,0.137,10.5,5
8.62,0.383,0.31,4.9,0.065,11.2,7
4.6,0.598,0.22,11.7,0.029,11.5,6
7.13,0.508,0.0,4.3,0.104,10.4,5
9.27,0.452,0.05,0.9,0.049,10.8,5
9.65,0.623,0.0,15.5,0.072,10.1,7
9.32,0.653,0.3,1.9,0.046,12.2,7
5.7,0.652,0.25,6.4,0.087,10.4,5
9.75,1.024,0.24,0.9,0.086,11.1,4
7.85,0.411,0.42,0.9,0.135,10.9,5
7.86,0.471,0.22,12.1,0.08,9.7,9
6.97,0.625,0.49,3.4,0.134,8.8,4
5.7,0.813,0.23,3.7,0.164,10.3,5
7.43,0.61,0.44,1.4,0.148,9.5,5
9.34,0.682,0.0,0.9,0.118,10.0,6
6.49,0.658,0.19,15.5,0.094,11.7,6
8.06,0.497,0.2,7.4,0.012,11.3,7
7.0,0.552,0.52,10.0,0.132,10.8,4
5.75,0.421,0.18,8.5,0.085,10.2,6
9.65,0.598,0.0,1.0,0.077,9.8,5
10.65,0.76,0.29,3.7,0.066,8.9,7
8.5,0.519,0.0,3.3,0.037,10.5,5
7.13,0.128,0.22,1.4,0.058,10.8,6
10.43,0.212,0.25,3.0,0.08,10.0,6
11.23,0.869,0.14,2.6,0.054,9.7,5
12.09,0.608,0.04,3.6,0.104,12.6,6
7.32,0.503,0.24,0.9,0.045,11.7,7
7.77,0.542,0.26,7.2,0.176,10.5,4
7.94,0.606,0.24,1.1,0.064,10.2,5
8.52,0.544,0.3,4.5,0.114,9.3,5
7.68,0.526,0.43,4.1,0.113,9.0,5
10.38,0.777,0.0,2.8,0.018,11.9,5
7.88,0.463,0.31,4.6,0.111,12.6,6
7.17,0.502,0.35,0.9,0.119,10.5,4
8.69,0.504,0.49,2.6,0.02,9.0,6
10.22,0.372,0.18,15.5,0.139,11.7,7
6.53,0.459,0.33,2.6,0.197,11.8,5
8.08,0.528,0.02,0.9,0.033,10.6,6
7.85,0.672,0.41,0.9,0.111,9.9,5
9.22,0.859,0.27,0.9,0.093,8.9,3
10.83,0.531,0.0,0.9,0.109,8.9,5
5.28,0.448,0.38,0.9,0.182,9.1,3
8.13,0.189,0.47,3.9,0.012,9.2,8
6.16,0.7,0.31,8.2,0.131,10.2,6
7.31,0.583,0.69,0.9,0.09,9.8,5
6.18,0.587,0.36,2.0,0.148,11.8,5
8.51,0.788,0.21,2.4,0.128,11.8,5
10.3,0.416,0.29,2.4,0.082,9.3,5
10.25,0.757,0.0,11.8,0.172,9.6,5
9.35,0.491,0.25,2.9,0.131,10.3,6
10.67,0.12,0.24,1.2,0.152,9.2,5
8.46,0.511,0.19,0.9,0.101,12.0,5
7.41,0.559,0.34,3.6,0.025,9.9,6
6.18,0.578,0.22,6.5,0.074,10.5,4
7.51,0.913,0.39,2.1,0.083,10.8,5
5.58,0.625,0.27,0.9,0.086,10.1,5
10.17,0.596,0.28,2.3,0.099,10.2,5
8.63,0.616,0.11,2.9,0.101,11.3,7
6.68,0.588,0.35,6.4,0.139,8.4,5
7.13,0.151,0.25,8.2,0.063,10.5,8
9.02,0.418,0.41,0.9,0.091,11.2,6
6.24,0.653,0.0,2.7,0.054,8.4,6
9.27,0.465,0.51,15.5,0.012,12.3,9
9.49,0.289,0.54,4.1,0.047,10.3,7
10.61,0.787,0.14,0.9,0.118,9.6,4
7.88,0.346,0.0,2.4,0.124,12.2,5
10.21,0.521,0.26,5.3,0.138,9.6,3
7.78,0.557,0.12,12.1,0.092,10.7,6
5.18,0.695,0.14,15.5,0.037,11.0,6
9.23,0.753,0.34,1.9,0.012,10.8,6
9.83,0.599,0.29,0.9,0.038,12.1,6
6.7,0.23,0.23,0.9,0.012,10.2,6
4.62,0.4,0.27,5.6,0.071,8.4,5
8.5,0.324,0.04,1.0,0.105,10.1,6
7.0,0.709,0.28,2.8,0.096,9.1,4
7.43,0.68,0.28,0.9,0.081,9.3,4
6.61,0.135,0.26,6.5,0.165,12.0,6
12.52,0.552,0.58,0.9,0.109,11.5,6
8.1,0.526,0.57,9.8,0.043,10.1,8
7.08,0.546,0.52,2.2,0.03,10.2,7
5.2,0.647,0.28,5.7,0.012,10.5,7
9.24,0.326,0.35,14.2,0.15,10.3,4
8.82,0.283,0.62,0.9,0.071,10.0,6
8.61,0.719,0.28,2.2,0.023,9.2,6
6.78,0.41,0.12,2.8,0.127,10.0,4
9.37,0.451,0.31,0.9,0.124,9.3,4
6.72,0.459,0.39,0.9,0.098,10.8,6
7.82,0.892,0.34,3.2,0.038,12.0,8
8.95,0.434,0.36,2.4,0.056,11.0,7
8.6,0.273,0.52,0.9,0.155,9.2,7
6.92,0.655,0.72,0.9,0.087,9.5,6
8.63,0.189,0.77,2.6,0.086,9.7,7
6.4,0.408,0.23,0.9,0.069,9.4,4
7.61,0.495,0.28,5.2,0.093,10.4,4
6.54,0.545,0.76,14.1,0.018,10.0,8
6.57,0.566,0.29,3.7,0.085,9.5,6
7.58,0.562,0.29,0.9,0.126,11.5,5
8.79,1.064,0.06,3.9,0.078,12.5,5
8.94,0.34,0.53,1.1,0.213,12.0,6
8.24,0.577,0.15,7.9,0.061,10.6,6
7.64,0.373,0.61,6.3,0.111,9.0,5
10.36,0.63,0.18,2.9,0.062,10.5,6
8.64,0.778,0.46,15.0,0.114,9.5,6
7.54,0.692,0.17,4.4,0.051,9.3,4
7.2,0.699,0.07,7.1,0.098,9.7,4
10.94,0.518,0.47,1.2,0.07,10.2,5
11.5,0.444,0.28,15.5,0.143,12.0,7
7.53,0.201,0.0,2.5,0.066,10.7,6
5.86,0.551,0.36,0.9,0.128,8.8,5
7.53,0.698,0.02,0.9,0.067,9.1,4
9.15,0.557,0.3,3.9,0.099,10.8,6
8.41,0.582,0.34,1.8,0.083,9.4,6
9.61,0.501,0.23,3.9,0.092,11.4,5
6.88,0.477,0.5,0.9,0.152,10.1,3
9.49,0.578,0.4,3.2,0.09,10.0,5
6.69,0.582,0.09,1.8,0.085,8.8,6
6.81,0.656,0.25,0.9,0.078,8.4,5
8.48,0.539,0.37,15.5,0.119,8.4,6
9.57,0.759,0.2,0.9,0.047,8.4,4
10.08,0.396,0.25,1.7,0.08,9.4,5
7.02,0.932,0.3,1.8,0.092,10.9,5
9.27,0.331,0.35,4.3,0.061,8.7,6
6.62,0.544,0.61,3.6,0.095,9.3,7
8.11,0.468,0.0,0.9,0.048,9.6,6
7.24,0.613,0.34,15.5,0.129,8.9,5
8.44,0.669,0.23,0.9,0.096,10.6,5
6.83,0.672,0.23,2.0,0.193,11.0,4
6.05,0.564,0.28,0.9,0.06,12.8,6
10.08,0.579,0.48,1.6,0.154,10.7,5
8.34,0.725,0.11,15.5,0.042,10.5,8
9.55,0.507,0.69,3.6,0.033,11.1,8
6.29,0.475,0.17,15.5,0.049,10.6,6
8.74,0.837,0.15,6.2,0.02,10.5,6
7.63,0.334,0.33,9.9,0.118,9.8,7
6.09,0.544,0.31,2.9,0.072,11.1,6
8.03,0.438,0.5,3.9,0.084,10.3,6
7.53,0.505,0.43,3.4,0.05,10.2,6
9.85,0.464,0.21,3.8,0.138,9.9,5
8.86,0.319,0.22,0.9,0.05,9.6,6
8.02,0.182,0.06,1.8,0.107,11.3,7
8.51,0.429,0.7,0.9,0.045,10.6,7
8.72,0.792,0.54,1.6,0.059,9.4,4
8.7,0.713,0.16,5.2,0.042,11.3,7
9.19,0.527,0.08,1.7,0.078,9.5,5
9.12,0.425,0.21,0.9,0.021,9.7,7
10.92,0.579,0.28,10.9,0.078,9.8,7
6.81,0.572,0.38,7.1,0.084,8.5,4
9.37,1.085,0.21,2.4,0.065,10.3,4
8.71,0.636,0.33,5.1,0.013,11.1,7
10.38,0.581,0.42,2.5,0.112,10.2,5
9.46,0.518,0.0,2.3,0.071,11.0,6
6.47,0.417,0.74,1.7,0.075,9.3,6
4.91,0.71,0.27,0.9,0.012,10.8,5
8.54,0.707,0.55,2.3,0.077,10.6,7
8.87,0.509,0.73,1.8,0.153,8.4,4
8.51,0.682,0.14,4.9,0.13,9.8,5
6.86,0.657,0.47,3.1,0.1,10.1,6
8.99,0.663,0.3,2.3,0.121,9.6,6
6.94,0.717,0.3,0.9,0.114,9.0,4
10.0,0.305,0.18,2.2,0.084,11.2,7
9.71,0.746,0.42,15.5,0.061,10.5,6
10.17,0.492,0.18,4.2,0.084,11.1,8
8.85,0.268,0.42,14.7,0.086,10.3,7
9.95,0.494,0.1,1.0,0.067,8.8,6
7.59,0.635,0.21,2.5,0.056,9.2,6
11.15,0.584,0.21,3.8,0.076,11.8,5
8.11,0.764,0.0,9.3,0.012,9.4,5
8.38,0.51,0.45,1.5,0.086,10.8,6
9.77,0.771,0.33,15.5,0.112,11.4,6
9.1,0.398,0.25,15.5,0.053,9.9,7
8.96,0.589,0.3,0.9,0.132,11.4,7
9.24,0.331,0.53,1.8,0.125,9.7,5
8.34,0.438,0.39,1.3,0.075,10.6,6
7.2,0.484,0.14,0.9,0.068,10.2,5
9.07,0.514,0.52,2.7,0.104,10.8,6
7.09,0.51,0.39,3.6,0.112,11.2,6
7.84,0.555,0.16,14.2,0.027,9.0,7
9.09,0.477,0.34,3.5,0.078,10.4,5
7.08,0.483,0.42,1.8,0.078,9.5,6
8.98,0.404,0.11,5.1,0.092,11.9,5
9.76,0.567,0.5,15.5,0.082,9.2,6
7.45,0.639,0.04,0.9,0.148,11.3,5
8.86,0.638,0.01,12.7,0.098,8.4,5
12.09,0.614,0.13,9.1,0.056,9.5,5
7.4,0.785,0.22,12.3,0.163,9.5,5
8.7,0.732,0.6,0.9,0.114,9.5,5
6.75,0.469,0.02,13.0,0.137,10.4,5
4.78,0.383,0.35,2.2,0.075,11.5,6
7.61,0.669,0.14,8.0,0.113,11.6,6
7.7,0.76,0.0,1.4,0.033,10.2,5
10.03,0.499,0.27,1.1,0.14,9.7,4
11.19,0.308,0.0,13.1,0.125,12.2,7
6.87,0.786,0.34,0.9,0.083,10.3,5
7.89,0.626,0.35,0.9,0.029,10.9,6
8.19,0.608,0.16,2.9,0.106,11.0,5
8.65,0.627,0.63,1.0,0.053,9.5,5
6.88,0.509,0.13,4.4,0.034,11.9,8
7.89,0.303,0.36,0.9,0.067,11.0,6
12.16,0.483,0.24,3.5,0.061,11.2,7
9.41,0.619,0.16,0.9,0.073,9.6,4
6.33,0.847,0.09,5.5,0.092,8.5,6
10.31,0.645,0.44,0.9,0.151,9.3,4
11.19,0.55,0.15,0.9,0.143,10.0,4
8.2,0.229,0.43,7.1,0.054,11.5,7
7.45,0.507,0.39,8.1,0.155,11.5,6
6.89,0.443,0.25,2.5,0.049,9.5,6
6.89,0.438,0.14,1.1,0.141,9.3,4
4.6,0.12,0.38,0.9,0.157,9.1,6
9.0,0.432,0.2,2.7,0.103,8.9,6
8.68,0.811,0.27,3.7,0.018,10.1,7
7.61,0.626,0.23,0.9,0.073,10.3,5
8.66,0.394,0.14,3.8,0.085,11.3,7
12.24,0.88,0.07,15.5,0.029,11.9,7
10.6,0.619,0.12,1.9,0.054,8.5,4
9.04,0.594,0.23,3.5,0.017,10.0,7
7.63,0.272,0.47,1.6,0.12,9.4,5
6.89,0.58,0.36,0.9,0.064,11.3,7
8.72,0.12,0.43,2.4,0.012,10.3,6
6.73,0.391,0.64,3.4,0.21,11.9,5
9.99,0.69,0.0,1.6,0.027,10.7,7
7.65,0.256,0.4,1.0,0.012,9.9,8
8.87,0.515,0.35,3.3,0.108,9.7,5
7.26,0.437,0.36,7.5,0.103,10.3,6
6.33,0.712,0.45,15.5,0.113,10.8,7
6.69,0.567,0.18,2.9,0.134,10.0,3
6.05,0.323,0.34,6.2,0.087,9.3,7
7.84,0.602,0.68,0.9,0.159,8.7,4
8.76,0.532,0.38,15.5,0.044,9.1,7
5.16,0.884,0.37,2.2,0.039,10.8,7
7.03,0.541,0.19,15.5,0.088,11.2,7
9.16,0.359,0.56,2.8,0.098,11.1,6
9.85,0.87,0.23,6.2,0.1,10.0,4
9.75,0.976,0.37,1.5,0.105,10.4,4
10.51,0.545,0.34,10.2,0.074,10.1,5
6.42,0.854,0.22,1.4,0.092,10.9,4
11.34,0.331,0.1,1.8,0.035,9.6,7
7.45,0.547,0.28,0.9,0.059,12.0,6
9.97,0.835,0.3,13.2,0.083,10.4,6
8.25,0.82,0.0,1.5,0.081,11.8,4
9.01,0.65,0.47,6.9,0.101,9.8,5
10.17,0.498,0.24,13.3,0.053,10.2,6
9.61,0.442,0.65,0.9,0.072,11.5,6
9.51,0.582,0.74,2.3,0.021,8.4,7
11.24,0.416,0.35,0.9,0.131,10.7,6
10.74,0.592,0.0,3.0,0.136,8.4,4
7.27,0.673,0.39,3.2,0.06,11.0,6
8.52,0.607,0.06,0.9,0.097,9.4,4
10.09,0.598,0.04,1.1,0.088,9.5,5
8.83,0.611,0.09,3.1,0.091,11.8,6
8.33,0.318,0.66,0.9,0.09,11.1,7
7.89,0.582,0.17,2.1,0.165,11.4,5
4.72,0.698,0.22,2.9,0.128,8.4,4
8.98,0.426,0.4,1.0,0.142,11.5,5
9.64,0.588,0.09,0.9,0.032,10.8,6
8.16,0.6,0.27,6.6,0.088,9.8,6
7.76,0.621,0.56,3.4,0.052,10.1,7
6.29,0.587,0.2,0.9,0.088,12.9,7
8.92,0.248,0.19,3.3,0.036,8.4,5
8.3,0.69,0.46,6.5,0.078,11.0,6
7.94,0.864,0.29,1.4,0.018,10.9,5
9.6,0.438,0.3,4.3,0.122,11.4,6
10.47,0.481,0.42,15.5,0.118,10.0,7
8.47,0.791,0.27,3.0,0.148,11.2,4
10.22,0.68,0.13,1.1,0.078,10.2,6
9.23,0.755,0.14,1.2,0.096,10.8,6
6.9,0.287,0.0,0.9,0.026,10.2,6
9.38,0.743,0.54,4.0,0.142,8.4,4
8.34,0.152,0.01,0.9,0.074,10.2,5
8.61,0.969,0.48,5.6,0.053,10.6,6
11.56,0.615,0.27,15.5,0.049,11.2,6
10.68,0.59,0.27,0.9,0.054,11.8,7
6.42,1.124,0.66,0.9,0.089,10.3,5
9.32,0.588,0.31,0.9,0.065,10.6,5
6.83,0.789,0.23,0.9,0.032,10.4,6
6.6,0.539,0.45,8.0,0.101,10.2,5
5.01,0.421,0.07,1.1,0.165,10.7,4
9.16,0.177,0.27,0.9,0.114,11.7,6
12.69,0.596,0.27,2.5,0.115,11.4,7
5.89,0.54,0.41,2.0,0.113,11.8,6
8.27,0.671,0.42,3.1,0.071,9.1,5
7.36,0.631,0.21,1.2,0.055,11.3,7
8.3,0.756,0.17,3.6,0.107,11.6,6
10.51,0.252,0.39,0.9,0.167,11.6,6
6.96,0.29,0.28,0.9,0.129,11.3,6
8.85,0.372,0.42,3.7,0.052,9.8,7
8.87,0.687,0.63,0.9,0.099,11.3,6
10.02,0.351,0.0,5.5,0.063,9.4,6
6.83,0.768,0.29,2.1,0.096,10.1,6
10.87,0.312,0.15,5.9,0.143,10.4,7
