income,credit_score,age,loan_amount,approved
22117,677,46,106477,1
37612,641,53,181998,0
20000,587,29,62655,0
57757,714,18,291496,0
43998,653,50,200280,0
46883,654,54,117182,0
36788,775,69,128427,0
41727,641,35,222437,0
20000,803,42,62488,0
27369,680,35,79732,0
39772,711,37,165362,0
26647,502,39,81367,0
35175,787,55,144762,0
61659,679,52,310261,0
82234,850,66,183805,0
20000,525,51,52756,0
80812,777,41,357805,1
80410,790,26,288112,0
82613,726,53,440307,0
69746,694,36,326898,0
128122,685,43,549771,0
20929,637,53,45975,0
29417,711,36,169689,0
30111,670,27,87162,0
24370,610,47,116986,0
65721,618,55,128532,0
67975,585,38,237887,0
55452,566,25,192509,0
25573,749,33,116465,0
78589,574,18,333113,0
21846,562,31,119380,0
20000,549,39,85284,0
20000,575,53,41943,0
87606,691,40,412096,0
37655,681,35,82088,1
24889,680,48,127606,0
196363,849,35,788959,0
62214,758,56,305175,0
116657,671,47,357073,0
20000,648,45,19264,1
66191,653,18,214275,0
22636,529,59,133657,0
86530,595,41,350295,0
20000,701,49,108279,0
20000,655,59,40712,0
90839,607,41,256196,0
20000,776,18,58572,0
117946,526,37,618339,0
117292,652,42,523538,0
43266,651,34,184870,0
20000,792,47,53778,0
68079,846,28,282456,0
75134,613,45,267435,0
58580,750,29,206437,1
20000,756,38,64937,1
27741,692,49,134590,0
34399,524,40,165368,0
31202,595,25,140593,0
57371,720,39,164301,0
20000,727,28,48903,0
20000,587,21,80389,1
34353,609,36,135017,0
20000,571,35,70779,0
20000,742,44,21408,0
55532,653,45,265929,0
153077,458,27,809672,0
130624,850,38,573370,0
41732,749,60,123336,0
55386,571,31,261742,0
20000,546,40,42003,1
36064,578,51,176897,0
20000,537,56,104789,0
80041,716,42,206277,0
84945,522,18,427347,0
20000,821,47,35471,0
28164,753,41,92511,0
34629,787,39,166669,0
29621,723,35,138764,0
20000,694,30,81908,0
65636,683,33,363568,0
50586,765,29,194852,0
48960,564,42,210399,0
20000,659,49,114064,0
20000,608,42,108558,0
27135,695,22,118444,0
27644,599,44,35150,1
24854,705,31,162916,0
20000,734,18,76657,0
38726,708,42,149109,0
46305,727,33,171419,0
20000,638,36,95133,0
26653,568,39,132595,0
59525,746,30,280906,0
96705,810,52,443603,0
141563,561,21,488169,0
20000,701,25,82152,0
148544,383,43,623963,0
141443,680,48,573934,0
34823,703,28,120639,0
225468,573,33,1000000,0
22334,793,39,82944,0
119495,683,42,508418,0
28886,772,48,133534,1
22559,850,29,62084,0
21702,629,45,118812,0
20000,608,44,47818,0
20000,780,36,63520,0
34617,671,34,180419,0
58449,524,45,175303,0
140661,599,48,683436,1
51489,746,51,261661,0
20000,750,57,63033,0
70979,714,36,336847,1
46723,714,49,147829,1
53839,574,32,302547,0
20000,619,53,108884,0
27094,708,34,141924,0
57812,733,44,237514,0
20000,744,23,97125,0
20000,692,48,116776,0
63308,620,43,141664,1
58269,623,47,201739,0
50730,753,43,137922,0
34153,792,44,191138,0
116434,546,58,501089,0
20000,820,31,56895,0
20000,657,43,101392,0
20000,753,33,105924,0
82174,633,42,202944,0
44066,681,20,163773,0
115709,699,44,501213,0
170018,626,28,441974,0
61524,809,38,223509,0
36504,673,18,157610,0
27042,737,38,90176,1
98268,631,35,254595,0
20000,770,46,95515,0
31937,674,42,58580,0
42024,684,21,132576,0
33952,594,63,83569,0
64979,623,40,280187,0
36344,652,55,122195,0
20000,601,43,85825,0
20000,628,49,109320,0
20000,810,41,107101,0
66912,604,33,175246,0
20000,702,43,98755,0
105401,682,18,486570,0
47469,684,53,296215,0
28672,716,45,97877,1
47355,717,33,243343,0
36907,525,24,154365,0
77247,673,40,263452,0
174550,698,26,516192,0
32890,677,32,81066,0
35640,731,41,152612,0
57207,707,21,211477,0
49693,657,36,99853,0
20050,781,66,142437,0
116346,657,49,259611,0
32398,850,37,139214,0
26822,554,18,114550,0
20000,703,35,63062,0
72407,850,42,264081,0
35577,731,37,179659,0
119327,850,35,395134,0
38285,751,32,234292,0
24226,664,38,162408,0
20000,703,42,112603,0
32591,799,38,179337,0
110287,618,50,295179,0
29230,624,40,107494,0
29075,653,32,153816,0
25707,693,46,83519,0
35236,550,36,121538,0
43119,646,57,151457,0
36770,582,26,222087,0
101802,609,19,389553,0
31053,631,56,89583,0
32816,541,27,148672,0
33475,788,38,110762,0
138942,835,46,716640,0
51382,782,52,99150,0
20000,588,43,93592,0
24749,823,30,69585,0
20000,551,33,116284,0
42155,714,52,140408,0
20000,760,25,80736,0
83239,711,19,265395,0
116570,628,43,248812,0
20000,631,42,118324,0
24198,615,53,94201,0
49968,570,60,261590,0
20000,558,41,74030,0
20000,725,54,71452,0
214503,609,35,836742,1
20000,754,38,32782,0
20000,525,39,126991,0
43096,798,25,225985,0
66941,732,57,351808,1
66717,732,45,330839,0
20000,659,31,60428,0
66843,761,40,199574,0
20094,735,37,67725,0
20000,676,26,75775,0
158629,654,40,881161,0
72276,614,45,274197,0
48370,622,70,237141,0
135820,637,54,548081,0
20000,758,40,48971,0
20000,573,57,71320,0
20000,717,18,61097,0
41711,652,30,104251,0
96322,583,27,425894,0
20000,715,28,67282,0
26038,639,42,129014,1
55531,608,32,100734,0
95477,704,37,363943,0
24469,616,41,111382,0
141033,720,51,786614,0
87790,617,60,284446,0
20000,615,42,126789,0
44347,592,33,86822,0
21664,722,28,25410,1
25897,538,40,55444,0
137328,723,27,377815,0
36209,732,32,144857,0
70616,606,34,297358,0
58083,550,44,145313,0
158351,568,20,417690,1
28090,702,30,130618,0
40509,693,38,116353,0
46435,665,18,228433,0
20000,784,33,118348,0
20000,595,29,95296,0
26429,689,36,149638,0
172033,621,42,376750,0
20000,652,33,128781,0
98649,660,41,209173,0
37556,521,36,62410,0
20000,478,49,118338,0
57179,723,41,147766,0
20000,681,39,118352,0
76665,652,45,286760,0
20000,639,59,90020,0
31496,503,28,214779,0
50340,688,30,265680,0
25355,615,51,145463,0
20000,604,46,79048,0
48804,586,45,114235,1
51103,674,18,151718,0
33576,638,37,189303,0
20000,559,47,125252,0
21685,818,34,85108,0
228522,693,55,878020,1
21390,760,35,77765,0
77333,590,41,193963,0
20038,783,52,64447,0
63033,609,49,221409,0
41611,554,45,243337,0
90813,753,35,500682,0
20000,739,51,99974,0
300000,603,30,1000000,0
28689,700,29,145883,0
20000,636,22,107964,0
38434,768,45,193972,0
20000,662,31,44579,0
36852,602,25,126615,0
20000,764,27,112856,0
27404,698,59,177655,0
77442,773,34,263823,0
23094,762,59,79352,0
20000,570,37,101364,0
39949,758,57,146759,0
24000,680,44,84038,0
55187,678,44,311270,0
33640,570,42,170654,0
55748,648,58,118153,0
37637,671,38,83655,0
20000,715,40,58600,1
41377,630,31,221189,0
22598,722,21,147808,0
28855,810,30,122834,0
51897,555,33,333895,0
33984,671,24,122466,0
20000,621,29,95080,0
20000,671,18,93858,0
63634,636,30,243429,0
88553,724,49,496682,0
20000,587,56,83405,0
34647,706,18,90361,0
48929,782,40,208273,0
84922,691,42,218272,0
31922,795,32,186164,0
20000,757,29,109870,0
20000,644,30,109891,0
22798,643,30,81609,0
35074,794,52,95957,0
20000,614,50,72776,0
61469,487,50,233995,0
41315,704,34,167330,0
20000,635,30,74183,0
35047,576,43,212371,0
33416,588,40,181021,1
49588,768,50,181225,0
36847,747,35,140311,0
20000,687,35,82293,0
41973,850,49,97349,1
22190,593,41,58919,0
38449,628,19,187204,0
20000,571,54,66241,0
46269,719,61,239984,0
28764,773,48,134037,1
20000,519,44,81596,0
20000,735,50,63691,0
20000,691,47,64386,0
31249,673,49,182489,0
55118,581,33,242115,0
21450,646,18,130205,0
20000,735,40,52995,0
73796,850,29,193776,0
22871,719,33,67297,0
22175,764,59,87522,0
158599,792,32,808590,0
45337,555,34,178322,0
85863,689,52,224705,0
48827,586,44,147933,0
20000,779,36,110317,0
73441,680,30,364821,0
20000,684,39,24645,0
136090,850,36,610756,0
39456,761,30,219495,0
82715,712,34,340182,0
35032,619,43,58572,1
20000,526,23,67790,0
20000,652,35,111872,0
43406,748,45,210142,0
20000,757,31,88786,0
82396,622,47,477537,0
20000,584,47,58528,0
39158,771,28,118888,0
20000,659,49,69491,0
26908,734,32,84404,0
238010,709,31,567997,0
33178,620,26,131481,0
28219,708,40,78318,0
53568,842,50,201082,0
69509,621,47,372550,0
32900,596,59,199615,0
64865,674,48,182265,0
30801,667,38,80283,0
22070,641,23,63427,0
21596,722,45,105613,0
20000,729,52,39679,0
20000,688,31,66819,0
20000,741,34,26708,1
110701,792,42,616062,0
52679,658,35,292287,0
20900,558,37,129068,0
42682,680,25,235804,0
69998,596,62,138846,1
51971,786,45,256082,0
20000,714,53,113425,0
272807,655,53,811244,0
20000,763,51,132438,0
99698,721,47,361698,0
56187,796,31,249304,0
102189,669,41,277962,0
25118,563,21,64774,0
25554,630,27,122628,1
20000,614,40,120997,0
20000,734,38,109506,0
37876,655,39,193377,0
40190,665,22,83057,0
25724,591,38,121396,0
20000,841,44,10000,1
20045,702,45,39084,0
20000,629,35,101407,0
20000,663,28,70401,0
95830,566,63,437026,0
39098,629,32,152601,0
94530,671,40,284406,0
61265,700,59,314011,0
40593,751,34,141646,0
300000,712,37,867091,0
52372,675,41,170263,0
72266,668,46,202480,0
20000,666,38,91406,0
158174,653,36,885603,0
38256,705,46,146444,0
28311,693,61,90894,0
25578,586,44,106759,0
30435,647,55,155854,0
103161,772,47,215198,0
139035,725,35,534921,0
20000,680,27,114142,0
85385,617,36,460675,0
78276,591,40,349149,0
94414,673,42,203343,0
77094,549,18,247557,0
52052,623,68,180281,0
20000,608,35,71934,0
20000,655,51,82952,0
20000,796,56,95863,0
59353,607,61,150774,0
26255,609,40,96932,0
20000,656,39,39597,0
83457,571,44,255534,0
31463,645,40,97051,0
20000,518,25,79632,0
20000,658,25,19418,0
37823,681,24,75278,0
55867,730,26,235792,0
81032,742,39,419153,0
20000,600,41,109147,0
23106,561,31,88768,0
71414,668,51,154922,0
29738,749,28,145885,0
26043,685,53,96697,0
27378,516,48,101515,0
23803,639,39,80555,0
77965,659,35,355053,0
29714,785,43,67818,0
20000,850,36,78281,1
43103,685,22,78374,0
20000,679,46,63223,0
43087,699,53,238187,0
20000,743,46,99312,0
42258,612,41,70857,0
32995,644,43,147123,0
31643,660,24,196824,0
20000,699,48,62092,0
47675,689,40,185969,0
27418,659,41,115361,0
25842,714,21,56245,0
39798,658,25,209259,0
43969,694,38,229682,0
30766,755,65,75703,0
20000,636,31,56985,0
21368,707,34,124542,0
25350,680,27,99956,0
101740,850,52,420325,0
163305,715,28,559623,0
32258,657,55,103137,0
45161,692,47,159731,1
56843,694,48,206558,0
51243,747,50,155838,0
33563,850,23,190649,0
75235,598,21,418301,0
39632,699,21,125840,0
37147,626,55,216202,0
81336,722,18,320692,0
23575,714,37,41933,0
20000,742,67,139880,0
27367,729,28,160796,0
27747,684,44,62629,1
20000,588,29,105953,0
31542,736,27,90721,0
103740,618,40,448352,0
20000,636,31,105264,0
37710,652,20,133365,0
21390,728,24,100369,0
23678,675,40,136023,0
79961,727,38,411276,0
23924,665,36,62309,0
37881,767,41,133646,0
41610,736,41,223734,0
20891,704,25,83104,0
38109,666,21,201946,0
97803,609,56,235917,0
29480,771,44,179555,0
80050,667,39,449823,0
68940,809,24,210576,0
44653,850,29,248374,0
20000,709,21,53247,0
39000,539,57,139135,0
67885,748,51,304172,0
103657,766,37,467000,0
30257,785,33,152283,0
39006,646,61,168440,0
31270,752,19,182257,0
126836,642,22,341787,0
78227,674,40,410326,1
53775,695,43,267297,0
72837,724,32,203323,0
39132,706,50,150624,0
45830,796,52,153160,0
24418,693,52,82360,0
31258,761,38,188740,0
91356,703,80,486464,0
67613,705,35,203189,0
70758,747,46,325681,0
20000,733,46,100831,0
20940,564,38,88269,0
25366,678,38,63820,0
26836,694,37,140530,0
36927,850,18,124044,0
20000,531,18,59786,0
20000,743,18,36786,0
46270,743,49,193453,0
37754,786,56,97316,1
20000,697,41,124601,1
30662,719,31,143200,1
20000,647,39,53840,0
35076,706,32,209828,0
21426,615,34,61030,0
43566,732,53,143756,0
20974,698,28,89830,0
40262,687,41,230943,0
21024,680,50,150329,0
35871,488,44,143651,0
20000,767,35,88913,0
23875,647,28,151776,0
26471,701,34,66012,0
33254,714,35,114718,0
47453,550,57,232724,0
56493,657,22,291623,0
116785,475,48,310271,0
53887,652,38,100197,0
20000,712,34,105353,0
49946,673,39,182842,0
46933,600,51,234714,0
32045,635,50,169460,0
20000,814,51,83029,0
20000,607,47,102033,0
20000,733,39,68483,0
32256,761,37,120336,0
60455,574,67,183866,0
33486,773,54,81001,0
107322,744,42,374386,0
61218,602,35,234265,0
33659,698,47,181701,0
20000,517,33,111233,0
20000,597,56,75596,0
31319,690,47,115934,0
94032,670,64,432501,0
21591,542,38,75818,0
41443,850,18,204221,0
300000,709,50,1000000,1
114280,587,46,585020,0
20404,686,37,73665,0
43280,595,49,118735,0
30079,740,42,50113,0
85287,538,29,367450,0
60439,708,44,216480,0
20000,691,35,95579,0
20000,552,33,97593,0
42118,767,52,189280,0
86897,718,40,391820,0
20000,752,34,52605,0
32339,630,46,64921,0
20000,670,55,126001,0
39046,725,35,181625,0
38843,742,44,150439,0
64459,850,21,307759,0
124379,573,47,335267,0
182772,667,34,854037,0
25124,803,44,103818,1
22504,656,50,74848,1
63006,850,28,309693,0
29524,695,39,91352,0
53911,850,37,254779,0
41724,740,35,222020,0
54184,569,31,192227,0
24044,540,39,85085,0
20000,666,51,60260,0
163864,651,35,888864,0
262810,750,43,1000000,0
20000,656,18,93131,0
54463,670,35,333789,0
27192,658,42,128050,0
20000,594,38,54178,0
29059,622,42,80372,0
37375,689,25,88977,0
48155,797,32,238522,0
54066,830,39,158821,0
68296,691,35,363758,0
22324,646,54,44512,0
30262,737,60,55101,0
93088,756,30,302776,0
39805,650,32,197008,0
20000,668,49,80829,1
108188,824,39,343682,0
43995,736,38,107728,0
45220,565,47,153900,0
23191,639,27,109771,0
39276,685,70,146919,0
96035,670,45,546574,0
20000,602,58,49036,0
20000,829,58,22986,1
61810,694,32,380420,0
28263,581,26,136583,0
83799,623,30,513475,0
98840,626,18,257777,0
41816,553,48,256745,0
21258,664,31,81139,0
28520,635,46,68713,0
48132,683,33,212133,0
153062,746,21,551270,0
49797,595,67,196236,0
20000,711,30,99637,0
20000,592,35,88398,0
20000,576,39,75152,0
83265,755,56,294286,1
34930,613,34,158349,0
89852,727,26,251548,0
20000,745,29,121849,0
25179,663,33,70562,0
71243,722,37,354737,0
35212,713,40,173774,1
21246,699,46,95586,0
31811,675,50,65704,0
20000,696,47,103354,0
65852,643,33,201206,0
80829,566,43,478848,0
73076,688,46,273219,0
22817,706,39,103999,0
60038,787,32,370448,0
25247,641,41,87842,0
20000,634,38,87367,0
46852,554,53,257712,0
40325,580,34,112380,0
50182,545,35,197258,0
39570,560,48,163089,0
20000,630,42,61128,0
100028,734,50,433597,0
20000,706,43,47628,0
55488,801,34,167245,0
20000,718,62,106314,0
20000,525,24,45182,0
50512,692,44,204713,0
47716,811,39,86652,0
60476,582,28,253235,0
53456,708,48,298146,0
63450,649,47,234969,0
20000,665,52,95391,0
20000,761,47,129884,0
33516,684,40,93838,0
36546,683,72,164114,0
45406,657,25,83183,0
131570,790,47,721633,0
20000,654,46,101383,0
27533,681,55,149909,0
59395,643,48,326121,0
71534,603,45,225833,0
20000,752,44,106433,1
32293,758,48,119361,0
20000,692,59,65002,0
112030,720,27,376782,0
34663,764,27,148346,0
20655,650,32,69700,0
20000,659,29,56248,0
20000,608,47,90676,0
34089,735,51,155577,1
67915,657,28,163942,0
21298,684,26,57270,0
228633,717,34,1000000,0
61688,720,24,313095,0
82109,589,29,291274,0
20000,729,55,83919,0
20000,841,36,57702,0
20000,680,54,44580,0
59619,785,32,159482,0
30735,548,22,69893,0
20000,687,44,54822,0
172646,519,31,844166,0
28540,758,44,65732,0
43096,598,51,96530,0
20000,648,59,114909,0
55320,603,42,211787,0
60392,762,68,200967,0
20000,767,49,83239,0
64627,609,41,252223,0
51732,683,49,251271,0
103277,598,18,389054,0
20000,676,39,25948,0
76771,573,25,394196,0
58352,618,52,233812,0
20000,674,45,78080,0
46912,751,28,138094,0
44773,655,18,213957,0
27042,798,45,146137,0
47622,631,23,112762,0
49266,537,40,230397,0
72500,570,62,341755,0
20896,628,47,103548,0
20350,850,25,64072,0
30491,650,38,124174,0
20000,623,45,85382,0
39765,712,39,154681,0
29642,792,45,120384,0
26498,717,41,182324,0
50490,662,38,194410,0
20000,839,23,111841,0
20000,748,39,108640,0
47196,696,43,311673,0
54885,786,28,251153,0
65174,679,46,213900,0
39954,670,34,126909,0
20000,623,47,101967,0
20000,610,42,120844,0
64020,678,25,137662,0
75417,599,49,363408,0
20000,785,30,91773,0
20465,699,40,97524,0
33687,657,54,150180,0
88076,688,39,223377,0
39554,779,36,145860,0
20000,683,33,105311,0
20000,675,18,66112,0
39992,850,27,230951,0
20000,617,39,72445,0
21249,662,33,38021,0
20000,563,49,94384,0
20000,768,33,72816,0
143577,682,30,400684,0
39482,793,48,155674,0
20000,739,41,118968,0
59039,567,35,373247,0
20000,627,18,54756,0
20000,555,33,68334,0
28689,608,48,124150,0
90677,479,30,399796,0
25537,677,45,97745,0
27208,713,51,64712,0
64565,655,22,223204,0
82698,726,37,460239,0
48095,622,34,209619,0
21834,694,31,38040,0
86435,578,36,226621,0
47329,692,57,119974,0
20000,715,25,47316,0
150238,689,32,886322,0
28504,654,52,131880,0
26384,766,31,130089,0
26620,678,42,80673,0
60892,708,40,260155,0
20887,743,66,120862,1
38472,753,60,136944,0
35272,639,48,165795,0
42563,771,41,202736,0
22277,677,37,140770,0
43869,772,20,190071,0
111598,716,52,574976,0
48864,669,43,173078,0
39252,652,59,259571,1
26110,583,64,135516,0
20000,680,46,99720,0
96762,556,34,277674,0
21526,640,48,82070,0
20000,664,54,14720,1
32622,578,42,157564,0
32731,556,24,149641,0
20000,673,38,122300,0
37905,563,44,103052,0
68726,513,28,385980,0
40153,718,47,215281,0
30345,698,19,190629,0
58135,695,44,147534,1
41308,678,33,216373,0
29426,714,30,111499,0
27552,628,48,195936,0
20000,612,43,61429,0
20000,850,18,70528,0
46989,717,26,252437,0
75580,620,56,279446,0
20903,744,18,109083,0
31596,693,50,115162,0
34595,651,18,45017,0
32243,661,20,109096,0
80176,587,37,225900,0
20000,649,45,94664,0
164352,693,64,946439,0
23294,751,32,114067,0
58953,612,40,215514,0
29876,727,44,136866,0
36275,702,32,190232,0
20000,797,43,65798,0
44762,681,35,230834,0
58058,730,50,242997,0
38638,737,51,90760,0
20000,623,41,133988,0
20496,632,34,72165,0
20000,596,29,86831,0
20000,606,54,83520,0
20000,662,50,111636,0
92478,696,43,274766,0
64979,797,42,346146,0
231047,663,51,924113,0
78711,548,30,338851,0
20000,763,71,138478,0
28759,763,58,105077,0
20000,648,44,104083,0
70320,559,47,255300,0
76875,674,42,284841,0
32422,645,28,177010,0
30028,770,40,113725,0
53294,850,44,138993,0
85970,704,39,413553,0
29587,714,29,62442,0
20000,711,41,76562,0
20000,701,18,125240,0
20000,567,39,130059,0
42979,616,60,172453,0
78200,669,44,241668,0
60278,665,33,214881,0
37999,698,44,140472,0
46811,648,28,189076,0
20000,553,29,45523,0
20116,691,19,86226,1
23266,805,31,126779,0
20000,637,41,76308,0
32155,713,37,63905,1
37633,809,47,136401,0
20000,850,32,72534,0
46853,635,38,76618,0
25108,722,34,130214,0
20000,617,30,103567,0
32806,699,30,124694,0
81885,608,27,312181,0
20000,661,53,60342,0
24716,821,29,109746,0
20000,809,38,122804,0
24001,780,31,169308,0
133257,678,43,377688,0
31868,751,35,36477,0
20000,775,76,98202,0
20000,705,31,88102,0
22959,549,36,136963,0
20000,651,29,95751,0
66861,607,60,121277,0
82722,639,18,257347,0
21840,544,41,149725,0
27982,583,46,80562,0
93691,542,43,475612,0
30979,723,53,142458,0
153254,850,51,731372,0
48361,560,39,95651,0
43878,706,40,130644,0
56316,625,37,220625,0
30337,722,32,71658,1
21383,689,48,33691,0
22410,654,33,33265,0
27927,683,46,172403,0
20000,613,37,58552,0
25590,724,22,50383,0
20000,813,41,49595,0
20000,806,39,87138,0
100632,681,30,363100,0
22662,747,36,45483,0
27545,645,30,111705,0
21837,701,32,33096,0
56178,678,22,143755,1
35625,687,31,153281,0
48412,710,46,182019,0
51554,721,43,174922,0
20000,733,54,119586,1
23377,641,47,94624,0
22063,709,36,83841,0
20000,664,43,136579,0
28617,693,45,144270,0
23937,639,65,136582,0
87834,664,43,342639,0
119149,494,51,282703,1
20000,790,50,67525,0
20000,653,62,31517,1
80204,792,45,222331,0
108216,685,19,673227,0
20000,690,40,112383,0
20829,822,41,111115,0
20000,773,40,76122,0
44551,529,53,258688,0
70085,804,19,197890,0
20000,587,33,129577,0
20000,709,66,90059,0
20000,762,36,108312,0
20000,697,50,116016,0
20000,599,21,57588,0
93198,739,32,329668,0
26509,674,58,118906,0
32026,803,46,152480,1
26438,725,45,88675,0
23964,725,40,95600,0
52152,727,39,253182,0
80926,755,48,247470,0
25187,674,21,78846,0
20000,760,47,62693,1
60797,850,27,176635,0
76051,797,41,194655,1
20000,724,34,54923,0
61593,683,38,341740,0
135609,661,43,662847,0
31091,650,33,47079,0
56511,758,47,331729,0
28887,661,25,131115,0
46297,664,43,211177,1
84721,530,48,406832,0
36851,761,50,215594,0
32746,734,39,160324,0
35412,723,52,113392,0
41261,716,39,92402,0
55241,773,50,173675,1
63458,587,27,305614,0
20000,580,38,62805,0
32612,672,36,87225,1
34050,680,36,176894,1
32786,736,26,90322,0
20000,656,32,77333,0
36521,601,25,181464,0
53868,714,41,176482,0
64713,721,72,178041,0
21169,741,25,73381,0
49197,656,50,157773,0
93020,700,27,177534,1
20000,531,48,51327,0
20000,686,42,66020,0
20000,824,39,37249,0
52904,727,33,130072,0
28597,611,55,84489,0
24130,602,62,89040,0
20000,737,41,77512,0
111916,770,55,491121,0
46610,577,41,90587,0
20000,563,45,44789,0
140248,612,24,484861,0
26115,781,34,150594,0
45021,764,47,203182,0
40255,619,61,83844,0
90644,788,36,389002,0
83764,648,51,383870,0
68750,791,38,186273,1
80812,754,38,360022,0
21051,834,25,96540,0
21742,578,63,62832,0
23881,728,54,150584,0
23915,590,35,51393,0
39416,555,45,128010,0
30021,693,34,125558,0
21118,627,45,37577,0
35198,587,42,148873,0
22291,733,22,119494,0
37843,628,53,153818,0
111075,635,39,557512,0
81252,627,49,270790,0
38637,660,37,148494,0
139495,716,35,567076,0
83125,844,27,412181,1
85898,608,52,364889,0
53734,701,47,265821,0
74589,806,31,167053,0
20000,657,43,67943,0
24133,759,43,94696,0
20000,688,46,101634,0
77058,668,55,198901,0
20000,650,30,96812,0
43978,628,49,196755,0
92126,661,49,253431,0
93800,784,44,448485,0
38670,671,29,117897,0
47243,562,40,173133,0
55660,702,18,268426,0
67796,604,36,245408,0
20000,793,28,64581,1
48573,614,50,131892,0
20000,621,44,110957,1
103628,655,28,307918,0
20000,696,62,113447,0
53233,617,58,140158,0
20000,768,44,98817,0
20000,751,23,43408,0
42067,663,45,147714,0
24183,707,40,121222,0
30739,712,57,217501,0
20000,603,24,108395,0
20000,825,35,56463,0
20000,670,54,110849,0
34601,797,48,196821,0
31541,749,33,128525,0
38438,732,49,175631,1
52636,683,36,202677,0
113584,775,30,390714,1
20000,761,50,77697,0
87830,700,50,415827,0
20453,753,36,51116,0
117696,648,29,310631,0
28167,563,33,95985,0
20697,707,42,138672,0
90895,694,22,552446,0
28851,557,46,95768,0
20000,671,40,91220,0
53944,623,40,156102,0
39540,537,47,204507,0
20000,638,23,96520,0
87273,704,33,354290,0
20000,578,43,69076,0
56043,617,42,206807,0
58101,729,40,211748,0
300000,694,40,1000000,0
37614,786,28,142062,1
20000,659,49,120587,0
34740,701,35,210787,0
157113,539,36,894481,0
138939,556,38,304643,1
20000,703,25,69018,0
20000,825,56,90570,0
33254,817,28,161265,0
20000,533,41,59222,0
33467,797,24,130989,0
23622,566,28,134210,0
85490,776,52,427996,0
80393,642,30,226064,0
192818,671,40,820518,0
23999,746,42,142983,0
20000,735,53,63607,0
74659,734,39,182331,0
30877,712,28,157972,0
89425,765,18,483827,0
45448,661,18,248870,1
66809,759,55,366295,0
37658,611,44,148633,0
23232,668,62,90263,0
163628,777,45,428645,0
48897,699,41,229684,0
25715,752,23,36512,1
20000,709,31,72675,0
34972,611,57,101485,0
20000,565,46,130797,0
24353,686,29,90295,0
127183,751,67,504825,0
103496,658,47,234899,0
20000,634,37,16074,0
20000,733,48,41691,0
73164,533,31,216129,0
20000,596,34,92830,0
58799,656,56,131783,1
20000,828,30,33047,1
20000,717,45,105032,0
48052,671,31,166822,0
20976,766,23,80993,0
20000,564,26,120590,0
51791,652,47,289389,0
20000,667,50,110041,0
20000,662,52,68036,0
52511,773,54,156087,0
20000,667,24,94577,0
20000,763,42,131901,0
20000,766,45,53038,1
71079,754,21,172845,1
38513,676,47,93359,0
31443,702,54,99596,0
32238,633,59,204489,0
20000,752,23,110695,0
22783,552,50,125049,0
35021,695,19,75721,0
20000,547,33,64349,0
20000,756,45,84119,0
20000,749,38,130478,0
205426,785,31,535635,0
38011,677,34,136206,0
125554,737,43,468792,0
27634,645,30,170275,0
20000,551,58,74388,0
74980,689,34,227598,0
26345,722,53,85337,0
27701,720,30,78746,0
47156,690,39,231259,0
47570,825,40,265874,0
85890,693,43,455002,0
38995,733,47,95713,0
34848,663,23,110654,0
96599,708,48,386158,0
23637,734,48,104774,0
85477,648,56,384201,0
59477,602,41,146909,0
35262,752,32,212235,0
34859,674,29,139954,0
20000,670,38,28181,0
52235,796,35,171024,0
20000,678,25,13689,0
85608,676,35,308368,0
20000,636,47,76939,0
100125,682,43,459700,0
136897,648,38,396121,0
109321,761,36,602439,0
65666,754,41,143219,1
33159,749,21,179226,0
22730,690,29,75956,0
48653,695,42,140713,0
42634,738,49,162997,0
59954,657,54,281211,0
45502,755,37,135282,0
20761,573,57,42397,0
65269,599,48,178504,0
29436,692,44,137528,0
68333,706,43,250022,0
121431,793,28,713257,0
56390,775,18,114220,1
25798,850,49,144016,0
42890,618,32,224158,0
62101,652,18,209410,0
20000,751,51,112025,0
34943,628,67,154703,0
25181,696,31,100813,0
125117,634,41,326480,0
20000,588,57,95854,0
38209,586,55,185862,0
64882,486,40,209704,0
29259,722,53,90734,0
20000,680,40,51238,0
39095,680,18,218669,0
57207,511,66,341520,0
121453,703,40,613788,0
40549,738,18,201753,0
26945,635,39,70885,0
31833,754,66,73929,0
60014,593,48,301040,0
65792,712,44,296391,1
69036,509,67,364378,1
25068,660,35,74918,0
105027,700,46,537407,0
21175,642,55,51497,0
43821,662,57,186929,0
20011,791,27,83841,0
20000,601,42,79247,0
59730,522,51,305907,0
85505,736,66,441523,0
20000,560,31,70117,0
20000,652,58,100918,0
148420,596,43,808073,0
20000,713,57,42724,0
24314,757,31,37444,0
300000,600,22,1000000,0
20000,769,23,78147,0
54028,612,43,339707,0
47516,712,40,200638,0
37944,621,44,140821,0
21652,787,38,70639,0
31076,433,71,51697,0
49985,544,61,280205,0
65475,661,42,345810,0
24383,569,39,67050,0
58397,765,23,191324,0
32097,541,36,183172,0
29980,646,35,104728,0
44901,850,21,140923,0
45085,746,37,146970,0
136088,525,43,384263,0
20000,850,55,59988,1
88010,827,60,228934,0
114743,613,37,379162,1
92761,707,41,478475,0
46532,571,28,240667,0
20000,693,42,62473,0
20000,701,50,56854,0
20000,664,29,82838,0
20000,709,20,57015,0
79831,769,37,241983,0
88901,663,40,359611,0
67233,542,22,282484,0
96629,616,52,412971,0
48054,662,21,122454,0
32779,645,31,66758,0
31577,717,36,73575,0
47328,729,53,116511,0
